rule_id,severity,subject,cluster_id,person_number,summary,visible_in_platform_data,evidence
R1_LEAVER_NOT_DEPROVISIONED,CRITICAL,a-chidi.rodriguez,C000407,EMP339807,"terminated 2026-05-23, account still enabled holding 2 entitlements",no,"{""account_type"": ""HUMAN_ADMIN"", ""ad_enabled"": true, ""correlation_confidence"": 0.88, ""correlation_tier"": ""T5_ADMIN_DERIVED"", ""critical_entitlements"": [""GRP_SRV_ADMIN_TIER1""], ""entitlements_held"": 2, ""termination_date"": ""2026-05-23""}"
R1_LEAVER_NOT_DEPROVISIONED,CRITICAL,amiller,C000182,EMP607142,"terminated 2026-04-08, account still enabled holding 4 entitlements",yes,"{""account_type"": ""HUMAN_PRIMARY"", ""ad_enabled"": true, ""correlation_confidence"": 0.99, ""correlation_tier"": ""T1_EMPLOYEE_ID"", ""critical_entitlements"": [""ORA_HCM_PAYROLL_RUN""], ""entitlements_held"": 4, ""termination_date"": ""2026-04-08""}"
R1_LEAVER_NOT_DEPROVISIONED,CRITICAL,mariam.gonzalez,C000138,EMP710645,"terminated 2026-02-08, account still enabled holding 4 entitlements",yes,"{""account_type"": ""HUMAN_PRIMARY"", ""ad_enabled"": true, ""correlation_confidence"": 0.99, ""correlation_tier"": ""T2_UPN_LOCALPART"", ""critical_entitlements"": [""PACS_ROLE_ADMIN""], ""entitlements_held"": 4, ""termination_date"": ""2026-02-08""}"
R1_LEAVER_NOT_DEPROVISIONED,CRITICAL,omar.zhao,C000089,EMP671297,"terminated 2026-04-10, account still enabled holding 4 entitlements",yes,"{""account_type"": ""HUMAN_PRIMARY"", ""ad_enabled"": true, ""correlation_confidence"": 0.99, ""correlation_tier"": ""T1_EMPLOYEE_ID"", ""critical_entitlements"": [""PYX_DISPENSE_CTRL_SUB""], ""entitlements_held"": 4, ""termination_date"": ""2026-04-10""}"
R1_LEAVER_NOT_DEPROVISIONED,CRITICAL,sarah.menon,C000117,EMP560948,"terminated 2026-03-02, account still enabled holding 5 entitlements",yes,"{""account_type"": ""HUMAN_PRIMARY"", ""ad_enabled"": true, ""correlation_confidence"": 0.99, ""correlation_tier"": ""T2_UPN_LOCALPART"", ""critical_entitlements"": [""GRP_SRV_ADMIN_TIER1""], ""entitlements_held"": 5, ""termination_date"": ""2026-03-02""}"
R3_ORPHANED_NHI,CRITICAL,svc-backup-3,C000298,,"SERVICE identity with no recorded owner, holding 2 entitlements",yes,"{""critical_entitlements"": [""GRP_SRV_ADMIN_TIER1""], ""entitlements_held"": 2, ""nhi_class"": ""SERVICE"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,CRITICAL,svc-backup-4,C000323,EMP243749,"SERVICE identity with a terminated owner, holding 2 entitlements",yes,"{""critical_entitlements"": [""GRP_SRV_ADMIN_TIER1""], ""entitlements_held"": 2, ""nhi_class"": ""SERVICE"", ""owner_person_number"": ""EMP243749"", ""owner_status"": ""TERMINATED"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,CRITICAL,svc-backup-5,C000326,,"SERVICE identity with no recorded owner, holding 2 entitlements",no,"{""critical_entitlements"": [""GRP_SRV_ADMIN_TIER1""], ""entitlements_held"": 2, ""nhi_class"": ""SERVICE"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,CRITICAL,svc-backup-7,C000339,,"SERVICE identity with no recorded owner, holding 2 entitlements",yes,"{""critical_entitlements"": [""GRP_SRV_ADMIN_TIER1""], ""entitlements_held"": 2, ""nhi_class"": ""SERVICE"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,CRITICAL,svc-monitoring,C000259,,"SERVICE identity with no recorded owner, holding 2 entitlements",no,"{""critical_entitlements"": [""GRP_SRV_ADMIN_TIER1""], ""entitlements_held"": 2, ""nhi_class"": ""SERVICE"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,CRITICAL,svc-monitoring-3,C000322,EMP567388,"SERVICE identity with a terminated owner, holding 2 entitlements",no,"{""critical_entitlements"": [""GRP_SRV_ADMIN_TIER1""], ""entitlements_held"": 2, ""nhi_class"": ""SERVICE"", ""owner_person_number"": ""EMP567388"", ""owner_status"": ""TERMINATED"", ""purpose"": """", ""review_cadence"": """"}"
