type,ad_sam,iga_asserts,independent_result,our_confidence,tier
CONTESTED_HCM_RECORD,amina.lopez + zainab.lopez,,EMP118016,0.79,
CONTESTED_HCM_RECORD,carlos.yang + carlos.wang,,EMP491391,0.79,
CONTESTED_HCM_RECORD,mariam.iyer + mariam.miller,,EMP787732,0.79,
CONTESTED_HCM_RECORD,yan.sharma + ana.sharma,,EMP859240,0.79,
CONTESTED_HCM_RECORD,yan.khan + yan.khan2,,EMP753805,0.79,
CONTESTED_HCM_RECORD,phussain + yan.hussain,,EMP756277,0.79,
CONTESTED_HCM_RECORD,aisha.lopez + aisha.lopez2,,EMP880126,0.79,
CONTESTED_HCM_RECORD,yan.costa + ana.costa,,EMP867450,0.79,
CONTESTED_HCM_RECORD,meera.okafor + mokafor,,EMP462844,0.79,
CONTESTED_HCM_RECORD,zainab.miller + zainab.santos3,,EMP509416,0.79,
CONTESTED_HCM_RECORD,rosa.khan2 + rosa.khan3,,EMP266804,0.79,
IGA_ASSERTS_LINK_BELOW_OUR_THRESHOLD,amina.lopez,EMP737917,EMP118016,0.468,T4_NAME_FUZZY
IGA_ASSERTS_LINK_BELOW_OUR_THRESHOLD,carlos.yang,EMP491391,EMP491391,0.79,T1_EMPLOYEE_ID
IGA_ASSERTS_UNVERIFIABLE_LINK,david.adeyemi,EMP243761,,0.0,
IGA_ASSERTS_UNVERIFIABLE_LINK,faisal.garcia,EMP955065,,0.0,
IGA_ASSERTS_LINK_BELOW_OUR_THRESHOLD,mariam.iyer,EMP751233,EMP787732,0.465,T4_NAME_FUZZY
IGA_ASSERTS_LINK_BELOW_OUR_THRESHOLD,yan.sharma,EMP889198,EMP859240,0.471,T4_NAME_FUZZY
IGA_ASSERTS_LINK_BELOW_OUR_THRESHOLD,carlos.wang,EMP479853,EMP491391,0.512,T4_NAME_FUZZY
IGA_ASSERTS_UNVERIFIABLE_LINK,nhussain,EMP861247,,0.0,
IGA_ASSERTS_LINK_BELOW_OUR_THRESHOLD,yan.khan,EMP107140,EMP753805,0.76,T2_UPN_LOCALPART
IGA_ASSERTS_LINK_BELOW_OUR_THRESHOLD,ana.sharma,EMP859240,EMP859240,0.79,T1_EMPLOYEE_ID
IGA_ASSERTS_UNVERIFIABLE_LINK,elena.menon,EMP833708,,0.0,
IGA_ASSERTS_LINK_BELOW_OUR_THRESHOLD,phussain,EMP745328,EMP756277,0.465,T4_NAME_FUZZY
IGA_ASSERTS_UNVERIFIABLE_LINK,layla.costa,EMP233857,,0.0,
IGA_ASSERTS_UNVERIFIABLE_LINK,jun.brown,EMP954037,,0.0,
IGA_ASSERTS_UNVERIFIABLE_LINK,chidi.miller,EMP634609,,0.0,
IGA_ASSERTS_LINK_BELOW_OUR_THRESHOLD,aisha.lopez,EMP210774,EMP880126,0.76,T2_UPN_LOCALPART
IGA_ASSERTS_UNVERIFIABLE_LINK,jzhao,EMP832856,,0.0,
IGA_ASSERTS_LINK_BELOW_OUR_THRESHOLD,yan.costa,EMP559098,EMP867450,0.47,T4_NAME_FUZZY
IGA_ASSERTS_UNVERIFIABLE_LINK,david.adeyemi2,EMP209869,,0.0,
IGA_ASSERTS_LINK_BELOW_OUR_THRESHOLD,meera.okafor,EMP462844,EMP462844,0.79,T2_UPN_LOCALPART
IGA_ASSERTS_LINK_BELOW_OUR_THRESHOLD,yan.hussain,EMP756277,EMP756277,0.79,T2_UPN_LOCALPART
IGA_ASSERTS_UNVERIFIABLE_LINK,ling.okafor,EMP459477,,0.0,
IGA_ASSERTS_UNVERIFIABLE_LINK,rahul.costa,EMP252117,,0.0,
IGA_ASSERTS_UNVERIFIABLE_LINK,hao.reddy,EMP378445,,0.0,
IGA_ASSERTS_UNVERIFIABLE_LINK,chidi.lopez,EMP854917,,0.0,
IGA_ASSERTS_LINK_BELOW_OUR_THRESHOLD,mokafor,EMP701191,EMP462844,0.465,T4_NAME_FUZZY
IGA_ASSERTS_LINK_BELOW_OUR_THRESHOLD,mariam.miller,EMP787732,EMP787732,0.79,T1_EMPLOYEE_ID
IGA_ASSERTS_UNVERIFIABLE_LINK,daniel.sharma,EMP624302,,0.0,
IGA_ASSERTS_LINK_BELOW_OUR_THRESHOLD,aisha.lopez2,EMP880126,EMP880126,0.79,T1_EMPLOYEE_ID
IGA_ASSERTS_LINK_BELOW_OUR_THRESHOLD,zainab.miller,EMP293781,EMP509416,0.76,T2_UPN_LOCALPART
IGA_ASSERTS_LINK_BELOW_OUR_THRESHOLD,zainab.santos3,EMP509416,EMP509416,0.79,T1_EMPLOYEE_ID
IGA_ASSERTS_UNVERIFIABLE_LINK,adaeze.rodriguez,EMP274675,,0.0,
IGA_ASSERTS_LINK_BELOW_OUR_THRESHOLD,rosa.khan2,EMP102726,EMP266804,0.79,T3_NAME_DEPT
IGA_ASSERTS_LINK_BELOW_OUR_THRESHOLD,yan.khan2,EMP753805,EMP753805,0.79,T1_EMPLOYEE_ID
IGA_ASSERTS_LINK_BELOW_OUR_THRESHOLD,zainab.lopez,EMP118016,EMP118016,0.79,T1_EMPLOYEE_ID
IGA_ASSERTS_LINK_BELOW_OUR_THRESHOLD,ana.costa,EMP867450,EMP867450,0.79,T1_EMPLOYEE_ID
IGA_ASSERTS_LINK_BELOW_OUR_THRESHOLD,rosa.khan3,EMP266804,EMP266804,0.79,T1_EMPLOYEE_ID
IGA_UNCORRELATED_BUT_RESOLVABLE,a-rosa.rahman,,EMP367185,0.88,T5_ADMIN_DERIVED
IGA_UNCORRELATED_BUT_RESOLVABLE,a-zainab.santos2,,EMP116969,0.88,T5_ADMIN_DERIVED
IGA_UNCORRELATED_BUT_RESOLVABLE,a-vikram.gonzalez,,EMP236691,0.88,T5_ADMIN_DERIVED
IGA_UNCORRELATED_BUT_RESOLVABLE,a-mnair,,EMP322538,0.88,T5_ADMIN_DERIVED
IGA_UNCORRELATED_BUT_RESOLVABLE,a-faisal.smith,,EMP466112,0.88,T5_ADMIN_DERIVED
IGA_UNCORRELATED_BUT_RESOLVABLE,a-miguel.liu,,EMP904875,0.88,T5_ADMIN_DERIVED
