cluster_name,rationale,finding_count,finding_ids
D3_DORMANT_ENTITLEMENT,grouped by originating rule,646,D0055 D0056 D0057 D0058 D0059 D0060 D0061 D0062 D0063 D0064 D0065 D0066 D0067 D0068 D0069 D0070 D0071 D0072 D0073 D0074 D0075 D0076 D0077 D0078 D0079 D0080 D0081 D0082 D0083 D0084 D0085 D0086 D0087 D0088 D0089 D0090 D0091 D0092 D0093 D0094 D0095 D0096 D0097 D0098 D0099 D0100 D0101 D0102 D0103 D0104 D0105 D0106 D0107 D0108 D0109 D0110 D0111 D0112 D0113 D0114 D0115 D0116 D0117 D0118 D0119 D0120 D0121 D0122 D0123 D0124 D0125 D0126 D0127 D0128 D0129 D0130 D0131 D0132 D0133 D0134 D0135 D0136 D0137 D0138 D0139 D0140 D0141 D0142 D0143 D0144 D0145 D0146 D0147 D0148 D0149 D0150 D0151 D0152 D0153 D0154 D0155 D0156 D0157 D0158 D0159 D0160 D0161 D0162 D0163 D0164 D0165 D0166 D0167 D0168 D0169 D0170 D0171 D0172 D0173 D0174 D0175 D0176 D0177 D0178 D0179 D0180 D0181 D0182 D0183 D0184 D0185 D0186 D0187 D0188 D0189 D0190 D0191 D0192 D0193 D0194 D0195 D0196 D0197 D0198 D0199 D0200 D0201 D0202 D0203 D0204 D0205 D0206 D0207 D0208 D0209 D0210 D0211 D0212 D0213 D0214 D0215 D0216 D0217 D0218 D0219 D0220 D0221 D0222 D0223 D0224 D0225 D0226 D0227 D0228 D0229 D0230 D0231 D0232 D0233 D0234 D0235 D0236 D0237 D0238 D0239 D0240 D0241 D0242 D0243 D0244 D0245 D0246 D0247 D0248 D0249 D0250 D0251 D0252 D0253 D0254 D0255 D0256 D0257 D0258 D0259 D0260 D0261 D0262 D0263 D0264 D0265 D0266 D0267 D0268 D0269 D0270 D0271 D0272 D0273 D0274 D0275 D0276 D0277 D0278 D0279 D0280 D0281 D0282 D0283 D0284 D0285 D0286 D0287 D0288 D0289 D0290 D0291 D0292 D0293 D0294 D0295 D0296 D0297 D0298 D0299 D0300 D0301 D0302 D0303 D0304 D0305 D0306 D0307 D0308 D0309 D0310 D0311 D0312 D0313 D0314 D0315 D0316 D0317 D0318 D0319 D0320 D0321 D0322 D0323 D0324 D0325 D0326 D0327 D0328 D0329 D0330 D0331 D0332 D0333 D0334 D0335 D0336 D0337 D0338 D0339 D0340 D0341 D0342 D0343 D0344 D0345 D0346 D0347 D0348 D0349 D0350 D0351 D0352 D0353 D0354 D0355 D0356 D0357 D0358 D0359 D0360 D0361 D0362 D0363 D0364 D0365 D0366 D0367 D0368 D0369 D0370 D0371 D0372 D0373 D0374 D0375 D0376 D0377 D0378 D0379 D0380 D0381 D0382 D0383 D0384 D0385 D0386 D0387 D0388 D0389 D0390 D0391 D0392 D0393 D0394 D0395 D0396 D0397 D0398 D0399 D0400 D0401 D0402 D0403 D0404 D0405 D0406 D0407 D0408 D0409 D0410 D0411 D0412 D0413 D0414 D0415 D0416 D0417 D0418 D0419 D0420 D0421 D0422 D0423 D0424 D0425 D0426 D0427 D0428 D0429 D0430 D0431 D0432 D0433 D0434 D0435 D0436 D0437 D0438 D0439 D0440 D0441 D0442 D0443 D0444 D0445 D0446 D0447 D0448 D0449 D0450 D0451 D0452 D0453 D0454 D0455 D0456 D0457 D0458 D0459 D0460 D0461 D0462 D0463 D0464 D0465 D0466 D0467 D0468 D0469 D0470 D0471 D0472 D0473 D0474 D0475 D0476 D0477 D0478 D0479 D0480 D0481 D0482 D0483 D0484 D0485 D0486 D0487 D0488 D0489 D0490 D0491 D0492 D0493 D0494 D0495 D0496 D0497 D0498 D0499 D0500 D0501 D0502 D0503 D0504 D0505 D0506 D0507 D0508 D0509 D0510 D0511 D0512 D0513 D0514 D0515 D0516 D0517 D0518 D0519 D0520 D0521 D0522 D0523 D0524 D0525 D0526 D0527 D0528 D0529 D0530 D0531 D0532 D0533 D0534 D0535 D0536 D0537 D0538 D0539 D0540 D0541 D0542 D0543 D0544 D0545 D0546 D0547 D0548 D0549 D0550 D0551 D0552 D0553 D0554 D0555 D0556 D0557 D0558 D0559 D0560 D0561 D0562 D0563 D0564 D0565 D0566 D0567 D0568 D0569 D0570 D0571 D0572 D0573 D0574 D0575 D0576 D0577 D0578 D0579 D0580 D0581 D0582 D0583 D0584 D0585 D0586 D0587 D0588 D0589 D0590 D0591 D0592 D0593 D0594 D0595 D0596 D0597 D0598 D0599 D0600 D0601 D0602 D0603 D0604 D0605 D0606 D0607 D0608 D0609 D0610 D0611 D0612 D0613 D0614 D0615 D0616 D0617 D0618 D0619 D0620 D0621 D0622 D0623 D0624 D0625 D0626 D0627 D0628 D0629 D0630 D0631 D0632 D0633 D0634 D0635 D0636 D0637 D0638 D0639 D0640 D0641 D0642 D0643 D0644 D0645 D0646 D0647 D0648 D0649 D0650 D0651 D0652 D0653 D0654 D0655 D0656 D0657 D0658 D0659 D0660 D0661 D0662 D0663 D0664 D0665 D0666 D0667 D0668 D0669 D0670 D0671 D0672 D0673 D0674 D0675 D0676 D0677 D0678 D0679 D0680 D0681 D0682 D0683 D0684 D0685 D0686 D0687 D0688 D0689 D0690 D0691 D0692 D0693 D0694 D0695 D0696 D0697 D0698 D0699 D0700
R5_SOD_VIOLATION,grouped by originating rule,112,R0037 R0038 R0039 R0040 R0041 R0042 R0043 R0044 R0045 R0046 R0047 R0048 R0049 R0050 R0051 R0052 R0053 R0054 R0055 R0056 R0057 R0058 R0059 R0060 R0061 R0062 R0063 R0064 R0065 R0066 R0067 R0068 R0069 R0070 R0071 R0072 R0073 R0074 R0075 R0076 R0077 R0148 R0149 R0150 R0151 R0152 R0153 R0154 R0155 R0156 R0157 R0158 R0159 R0160 R0161 R0162 R0163 R0164 R0165 R0166 R0167 R0168 R0169 R0170 R0171 R0172 R0173 R0174 R0175 R0176 R0177 R0178 R0179 R0180 R0181 R0182 R0183 R0184 R0185 R0186 R0187 R0188 R0189 R0190 R0191 R0192 R0193 R0194 R0195 R0196 R0197 R0198 R0199 R0200 R0201 R0202 R0203 R0204 R0205 R0206 R0207 R0208 R0209 R0210 R0211 R0212 R0213 R0214 R0215 R0216 R0217 R0218
R3_ORPHANED_NHI,grouped by originating rule,52,R0008 R0009 R0010 R0011 R0012 R0013 R0014 R0015 R0016 R0017 R0018 R0019 R0108 R0109 R0110 R0111 R0112 R0113 R0114 R0115 R0116 R0117 R0118 R0119 R0120 R0121 R0122 R0123 R0124 R0125 R0126 R0127 R0128 R0129 R0130 R0131 R0132 R0133 R0134 R0135 R0136 R0137 R0138 R0139 R0140 R0141 R0142 R0143 R0144 R0145 R0146 R0147
D2_PEER_GROUP_OUTLIER,grouped by originating rule,36,D0019 D0020 D0021 D0022 D0023 D0024 D0025 D0026 D0027 D0028 D0029 D0030 D0031 D0032 D0033 D0034 D0035 D0036 D0037 D0038 D0039 D0040 D0041 D0042 D0043 D0044 D0045 D0046 D0047 D0048 D0049 D0050 D0051 D0052 D0053 D0054
R1_LEAVER_NOT_DEPROVISIONED,grouped by originating rule,22,R0001 R0002 R0003 R0004 R0005 R0006 R0007 R0080 R0081 R0082 R0083 R0084 R0085 R0086 R0087 R0088 R0089 R0090 R0091 R0092 R0093 R0094
D1_RETAINED_ON_TRANSFER,grouped by originating rule,18,D0001 D0002 D0003 D0004 D0005 D0006 D0007 D0008 D0009 D0010 D0011 D0012 D0013 D0014 D0015 D0016 D0017 D0018
R4_ORPHANED_ADMIN_ACCOUNT,grouped by originating rule,17,R0020 R0021 R0022 R0023 R0024 R0025 R0026 R0027 R0028 R0029 R0030 R0031 R0032 R0033 R0034 R0035 R0036
R2_PLATFORM_STATE_DISAGREEMENT,grouped by originating rule,13,R0095 R0096 R0097 R0098 R0099 R0100 R0101 R0102 R0103 R0104 R0105 R0106 R0107
D4_STANDING_BREAKGLASS,grouped by originating rule,11,D0701 D0702 D0703 D0704 D0705 D0706 D0707 D0708 D0709 D0710 D0711
R6_COVERAGE_GAP,grouped by originating rule,3,R0078 R0079 R0219
